property_type,seller_name,price(rs),area_insqft,location
2 BHK Apartment,Tulive GK Shetty,4599112,952,East  Tambaram
3 BHK Apartment,Tulive GK Shetty,6174018,1278,East  Tambaram
3 BHK Apartment,Tulive GK Shetty,6164356,1276,East  Tambaram
3 BHK Apartment,Tulive GK Shetty,6198173,1283,East  Tambaram
3 BHK Apartment,Tulive GK Shetty,6188511,1281,East  Tambaram
2 BHK Apartment,Tulive GK Shetty,4932451,1021,East  Tambaram
2 BHK Apartment,Tulive GK Shetty,4613605,955,East  Tambaram
2 BHK Apartment,Tulive GK Shetty,5565312,1152,East  Tambaram
2 BHK Apartment,Tulive GK Shetty,5869665,1215,East  Tambaram
2 BHK Apartment,Tulive GK Shetty,5879327,1217,East  Tambaram
2 BHK Apartment,Harmony Residences Pvt Ltd,15598960,1040,Ashok Nagar
3 BHK Apartment,Harmony Residences Pvt Ltd,9418000,1108,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,8840000,1040,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,9418000,1108,East Tambaram
2 BHK Apartment,Harmony Residences Pvt Ltd,7386500,869,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,8840000,1040,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,9435000,1110,East Tambaram
2 BHK Apartment,Harmony Residences Pvt Ltd,7386500,869,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,9435000,1110,East Tambaram
2 BHK Apartment,Harmony Residences Pvt Ltd,7148500,841,East Tambaram
2 BHK Apartment,Harmony Residences Pvt Ltd,7148500,841,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,9239500,1087,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,9239500,1087,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,9511500,1119,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,9511500,1119,East Tambaram
2 BHK Apartment,Harmony Residences Pvt Ltd,7548000,888,East Tambaram
2 BHK Apartment,Harmony Residences Pvt Ltd,7548000,888,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,9911000,1166,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,9911000,1166,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,9358500,1101,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,9358500,1101,East Tambaram
2 BHK Apartment,Harmony Residences Pvt Ltd,7786000,916,East Tambaram
2 BHK Apartment,Harmony Residences Pvt Ltd,7786000,916,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,9375500,1103,East Tambaram
3 BHK Apartment,Harmony Residences Pvt Ltd,9375500,1103,East Tambaram
2 BHK Apartment,Saradeuz Realty Constructions,6117000,994,Perumbakkam
3 BHK Apartment,Saradeuz Realty Constructions,7963000,1294,Perumbakkam
2 BHK Apartment,Saradeuz Realty Constructions,5959000,965,Perumbakkam
2 BHK Apartment,Saradeuz Realty Constructions,5769000,930,Perumbakkam
3 BHK Apartment,Saradeuz Realty Constructions,7766000,1235,Perumbakkam
3 BHK Apartment,Saradeuz Realty Constructions,7424000,1234,Perumbakkam
2 BHK Apartment,Saradeuz Realty Constructions,6925000,1109,Perumbakkam
2 BHK Apartment,Saradeuz Realty Constructions,6420000,1019,Perumbakkam
3 BHK Apartment,Saradeuz Realty Constructions,7288000,1209,Perumbakkam
2 BHK Apartment,Saradeuz Realty Constructions,6403000,1016,Perumbakkam
3 BHK Apartment,Saradeuz Realty Constructions,7155000,1150,Perumbakkam
2 BHK Apartment,Saradeuz Realty Constructions,5649000,908,Perumbakkam
3 BHK Apartment,Saradeuz Realty Constructions,7435000,1200,Perumbakkam
2 BHK Apartment,Saradeuz Realty Constructions,5687000,915,Perumbakkam
2 BHK Apartment,Saradeuz Realty Constructions,5682000,914,Perumbakkam
3 BHK Apartment,Incor PBEL City,6831000,1518,Kelambakkam
3 BHK Apartment,Incor PBEL City,6831000,1518,Kelambakkam
2 BHK Apartment,Incor PBEL City,3271500,727,Kelambakkam
2 BHK Apartment,Incor PBEL City,3271500,727,Kelambakkam
2 BHK Apartment,Incor PBEL City,3988000,997,Kelambakkam
2 BHK Apartment,Incor PBEL City,3988000,997,Kelambakkam
2 BHK Apartment,Incor PBEL City,6165000,1370,Kelambakkam
2 BHK Apartment,Incor PBEL City,4851000,1078,Kelambakkam
2 BHK Apartment,Incor PBEL City,6165000,1370,Kelambakkam
3 BHK Apartment,Incor PBEL City,4441500,987,Kelambakkam
2 BHK Apartment,Incor PBEL City,4851000,1078,Kelambakkam
3 BHK Apartment,Incor PBEL City,4774500,1061,Kelambakkam
3 BHK Apartment,Incor PBEL City,4441500,987,Kelambakkam
2 BHK Apartment,Incor PBEL City,4806000,1068,Kelambakkam
3 BHK Apartment,Incor PBEL City,4774500,1061,Kelambakkam
3 BHK Apartment,Incor PBEL City,4707000,1046,Kelambakkam
2 BHK Apartment,Incor PBEL City,4806000,1068,Kelambakkam
2 BHK Apartment,Incor PBEL City,4689000,1042,Kelambakkam
3 BHK Apartment,Incor PBEL City,4707000,1046,Kelambakkam
2 BHK Apartment,Incor PBEL City,4689000,1042,Kelambakkam
2 BHK Apartment,Incor PBEL City,3753000,834,Kelambakkam
2 BHK Apartment,Incor PBEL City,6412500,1425,Kelambakkam
2 BHK Apartment,Incor PBEL City,3177000,706,Kelambakkam
2 BHK Apartment,Incor PBEL City,5823000,1294,Kelambakkam
3 BHK Apartment,Incor PBEL City,6984000,1552,Kelambakkam
2 BHK Apartment,Incor PBEL City,7600500,1689,Kelambakkam
3 BHK Apartment,Incor PBEL City,4342500,965,Kelambakkam
2 BHK Apartment,Incor PBEL City,4648500,1033,Kelambakkam
3 BHK Apartment,Incor PBEL City,6921000,1538,Kelambakkam
2 BHK Apartment,Incor PBEL City,5733000,1274,Kelambakkam
2 BHK Apartment,Incor PBEL City,6255000,1390,Kelambakkam
2 BHK Apartment,Incor PBEL City,5679000,1262,Kelambakkam
2 BHK Apartment,Incor PBEL City,3951000,878,Kelambakkam
3 BHK Apartment,Incor PBEL City,6862500,1525,Kelambakkam
3 BHK Apartment,sastha homes,9065700,1439,Medavakkam
3 BHK Apartment,sastha homes,9109800,1446,Medavakkam
2 BHK Apartment,sastha homes,6879600,1092,Medavakkam
2 BHK Apartment,sastha homes,6659100,1057,Medavakkam
2 BHK Apartment,sastha homes,6728400,1068,Medavakkam
2 BHK Apartment,Dolly Homes Builders Promoters,5844150,999,Medavakkam
2 BHK Apartment,Dolly Homes Builders Promoters,5879250,1005,Medavakkam
2 BHK Apartment,Dolly Homes Builders Promoters,6136650,1049,Medavakkam
3 BHK Apartment,Dolly Homes Builders Promoters,7388550,1263,Medavakkam
2 BHK Apartment,Dolly Homes Builders Promoters,6247800,1068,Medavakkam
2 BHK Villa,Budget Housing And Properties,3599880,916,Sevvapet
2 BHK Villa,Budget Housing And Properties,3100240,880,Sevvapet
2 BHK Apartment,Arun Excello Homes Private Limited,2610750,590,Guduvancheri
2 BHK Apartment,Arun Excello Homes Private Limited,2787750,630,Guduvancheri
2 BHK Apartment,Arun Excello Homes Private Limited,3163875,715,Guduvancheri
3 BHK Apartment,SS Buildtech,31698000,1761,Thiruvanmiyur
3 BHK Apartment,SS Buildtech,44280000,2460,Thiruvanmiyur
3 BHK Villa,VGN Homes,15000337,1711,Avadi
2 BHK Villa,VGN Homes,12300656,1394,Avadi
3 BHK Villa,VGN Homes,14299362,1629,Avadi
2 BHK Villa,VGN Homes,12899316,1468,Avadi
3 BHK Apartment,Ramaniyam Real Estate Builders,22100000,1077,Raja Annamalai
3 BHK Apartment,Ramaniyam Real Estate Builders,22100000,1077,Raja Annamalai
2 BHK Apartment,Ramaniyam Real Estate Builders,20500000,971,Raja Annamalai
2 BHK Apartment,Ramaniyam Real Estate Builders,20500000,971,Raja Annamalai
3 BHK Villa,Ramaniyam Real Estate Builders,33200000,2380,Kottivakkam
3 BHK Villa,Ramaniyam Real Estate Builders,25200000,1788,Kottivakkam
3 BHK Apartment,Ramaniyam Real Estate Builders,30900000,1800,Ashok nagar
3 BHK Apartment,Ramaniyam Real Estate Builders,30900000,1800,Ashok nagar
3 BHK Apartment,Ramaniyam Real Estate Builders,48400000,2216,Adyar
3 BHK Apartment,Ramaniyam Real Estate Builders,48400000,2216,Adyar
2 BHK Apartment,The Nest Builder,6209757,910,
3 BHK Apartment,The Nest Builder,8525903,1270,
